model,assets/model/slime.fbx,mdl_slime,0.2,1,1,,,,,
model,assets/model/kaykit_platformer_pack_1.0_free/assets/fbx/blue/platform_1x1x1_blue.fbx,mdl_ground,2,1,1,,,,,
model,Assets/Model/Player/Bot.fbx,mdl_player,0.025,0,1,,,,,
texture,assets/texture/mato.png,ui_gauge_cursor,2,0,1,,,,,
texture,assets/texture/ugoku.png,ui_gauge_frame,2,0,1,,,,,
texture,assets/texture/circle.png,ui_gauge_target,2,0,1,,,,,
texture,assets/texture/tex_background.jpg,tex_background,2,0,1,,,,,
model,assets/model/block/sand_b.fbx,mdl_deathzone,2,0,1,,,,,
texture,assets/texture/ui/ui_hop.png,ui_jump,2,0,1,,,,,
texture,assets/texture/ui/ui_flip.png,ui_blink,2,0,1,,,,,
audio,Assets/Audio/BGM.wav,bgm_main,,,1,,,,,テストシーンのBGM
audio,Assets/Audio/jump.wav,se_jump_p1,,,1,,,,,1PのジャンプSE
audio,Assets/Audio/jump1.wav,se_jump_p2,,,1,,,,,2PのジャンプSE
texture,Assets/Texture/Number.png,tex_number,,0,1,,,,,
texture,Assets/Texture/BackGround/newBackGround.jpg,tex_newbackground,2,0,1,,,,,背景のみ
texture,Assets/Texture/BackGround/w1920h1080.jpg,tex_w1920h1080,2,0,1,,,,,横1920縦1080
texture,Assets/Texture/BackGround/w1920h2160.jpg,tex_w1920h2160,2,0,1,,,,,横1920縦2160
texture,Assets/Model/KayKit_Platformer_Pack_1.0_FREE/Textures/platformer_texture.png,tex_block,,,1,,,,,
anim,Assets/Model/Player/Idle.fbx,anim_player_idle,,,1,,,,,
anim,Assets/Model/Player/SlowRun.fbx,anim_player_run,,,1,,,,,
anim,Assets/Model/Player/Jump.fbx,anim_player_jump,,,1,,,,,
anim,Assets/Model/Player/Fall.fbx,anim_player_fall,,,1,,,,,
model,Assets/Models/Player2P/ao_usagi.fbx,mdl_2Pplayer,0.25,0,1,,,,,
effect,Assets/Effect/Jump/zyanpu.efkefc,vfx_player_jump,,,1,,,,,
model,Assets/Models/test/boneBot.fbx,mdl_1P,0.25,,1,,,,,
effect,Assets/Effect/Jump/dash.efkefc,vfx_blink,,,1,,,,,
texture,Assets/Texture/UI/Stage/tex_ui_stage1.png,tex_ui_stage1,,,1,,,,,
texture,Assets/Texture/UI/Stage/tex_ui_diff_easy.png,tex_ui_diff_easy,,,1,,,,,
texture,Assets/Texture/UI/Stage/tex_ui_diff_normal.png,tex_ui_diff_normal,,,1,,,,,
texture,Assets/Texture/UI/Stage/tex_ui_diff_hard.png,tex_ui_diff_hard,,,1,,,,,
texture,Assets/Models/Player2P/aousagi_texture.png,tex_aousagi,,,1,,,,,
texture,Assets/Texture/UI/Result/tex_ui_diff_3st.png,tex_3st,,,1,,,,,
texture,Assets/Texture/UI/Result/tex_ui_diff_2st.png,tex_2st,,,1,,,,,
texture,Assets/Texture/UI/Result/tex_ui_diff_1st.png,tex_1st,,,1,,,,,
texture,Assets/Texture/UI/Result/tex_ui_diff_background.jpg,tex_resultbackground,,,1,,,,,
texture,Assets/Texture/UI/Result/tex_ui_diff_Serect.png,tex_selectstage,,,1,,,,,
texture,Assets/Texture/UI/Result/tex_ui_diff_Retry.png,tex_relrystage,,,1,,,,,
